City,Date,PM2.5,PM10,NO2,CO,SO2,O3,AQI,AQI_Bucket
Bangalore,25-01-2015,219.2,22.7,121.4,6.53,95.3,58.6,390.6,Severe
Bangalore,26-01-2015,274.2,119.4,34.3,0.31,79.3,20.4,319.9,Good
Bangalore,27-01-2015,469,203.6,120.8,4.59,65.7,110.2,78.7,Satisfactory
Bangalore,28-01-2015,447.1,152.5,131.8,8.66,30.7,172.3,92.9,Severe
Bangalore,29-01-2015,258.8,95.3,77.9,6.48,16.4,150.5,232,Good
Bangalore,30-01-2015,17.6,418.7,62.8,8.19,85.4,94.4,493.9,Very Poor
Bangalore,31-01-2015,327.5,71.1,105.1,6.85,4.4,28.9,432.3,Satisfactory
Bangalore,01-02-2015,245.6,397.9,91.1,1.84,59,6.3,211.4,Very Poor
Bangalore,02-02-2015,265.2,8.8,97.5,1.71,41.5,85.7,480.9,Moderate
Bangalore,03-02-2015,413.9,371,37.8,8.55,56.1,132,235.7,Very Poor
Bangalore,04-02-2015,76.2,253.1,88.6,4.31,46.3,79.7,377.2,Good
Bangalore,05-02-2015,73.8,57.2,37.9,1.48,47.3,86.3,6,Moderate
Bangalore,06-02-2015,56.8,201.4,121,9.2,20.6,48.5,93.3,Good
Bangalore,07-02-2015,375.1,280.7,115.6,2.47,4,71.1,173.3,Satisfactory
Bangalore,08-02-2015,287.3,346.6,114.7,4.48,52.6,140.8,205,Severe
Bangalore,09-02-2015,270,331.6,4.6,9.34,63.3,174.6,64.4,Severe
Bangalore,10-02-2015,419.1,43.5,35.5,4.99,22.3,40.9,440.1,Poor
Bangalore,11-02-2015,127.8,526.8,134,1.79,91.1,14.8,367.5,Poor
Bangalore,12-02-2015,318.1,363.3,121,7.97,66.8,172.9,355.9,Poor
Bangalore,13-02-2015,98.7,170.3,102.2,1.24,98.6,72.7,330.6,Moderate
Bangalore,14-02-2015,308.9,324.1,77.5,5.28,91.4,124.7,75,Poor
Bangalore,15-02-2015,148.2,233,70.1,2.2,77.6,46.2,52.2,Poor
Bangalore,16-02-2015,63,58.1,61.6,8.63,6,86.4,274.3,Very Poor
Bangalore,17-02-2015,475.1,186.4,15.7,5.58,99.3,137.5,125.1,Moderate
Bangalore,18-02-2015,355.2,376.8,91.9,2.71,52,31.8,340.5,Severe
Bangalore,19-02-2015,460,531,40,3.97,46.6,58.9,290.1,Good
Bangalore,20-02-2015,345,217.8,115.1,1.17,32.2,174.7,110.2,Good
Bangalore,21-02-2015,438,510.7,43.7,3.85,23.8,30.4,253.4,Poor
Bangalore,22-02-2015,353.4,176.1,109.3,4.88,5.8,51.5,362.5,Moderate
Bangalore,23-02-2015,159.9,326.1,33,8.86,27.4,139.6,13.2,Good
Bangalore,24-02-2015,39.4,414.2,35.7,6.17,31.8,96.6,95.9,Poor
Bangalore,25-02-2015,448.5,581.4,60.2,0.18,13.7,44.3,227.2,Very Poor
Bangalore,26-02-2015,356,523.7,125.4,1.17,63.9,75.1,492.4,Poor
Bangalore,27-02-2015,463.2,535.2,121,0.31,33.7,149.2,160.5,Satisfactory
Bangalore,28-02-2015,234.1,286.6,66.1,8.78,93.3,45,408.3,Good
Bangalore,01-03-2015,320.5,471.2,100.4,0.47,64.8,154.7,464.8,Moderate
Bangalore,02-03-2015,197.2,61.7,13.7,9.96,25.7,172.7,123.4,Severe
Bangalore,03-03-2015,147.2,33.3,59.6,0.39,57.5,126.9,225.8,Severe
Bangalore,04-03-2015,196.7,278.3,44.4,6.02,25,108.7,12.5,Moderate
Bangalore,05-03-2015,217.6,545.8,144.5,6.82,5.4,120.2,275.8,Very Poor
Bangalore,06-03-2015,33.5,391.5,8,9.8,51.1,132.4,425.8,Very Poor
Bangalore,07-03-2015,72.3,384.2,100.8,6.22,47.3,198.9,204,Poor
Bangalore,08-03-2015,314.7,280,93.2,5.68,14.4,177.3,10.2,Severe
Bangalore,09-03-2015,362.7,110.1,83.8,8.65,55.8,197.9,498,Good
Bangalore,10-03-2015,361.6,470.5,141.8,6.89,92.3,95.9,472.6,Poor
Bangalore,11-03-2015,5.3,306.2,78.5,2.85,65.6,157.4,246.5,Very Poor
Bangalore,12-03-2015,156.2,558.5,8.3,8.97,90.2,136.9,183.3,Very Poor
Bangalore,13-03-2015,496.9,129.7,58.1,2.46,33.6,16.9,316.6,Severe
Bangalore,14-03-2015,60.6,186,59.1,1.03,48.5,102.2,391.4,Severe
Bangalore,15-03-2015,50,60.8,3.3,1.86,45.1,44,486.2,Poor
Bangalore,16-03-2015,493.3,567.3,8.9,2.08,57.4,85.2,157.5,Poor
Bangalore,17-03-2015,220.7,322.2,58.4,6.57,58.6,123.4,289.5,Moderate
Bangalore,18-03-2015,112.7,466.3,100.2,5.25,99.6,33.1,31.3,Moderate
Bangalore,19-03-2015,246.6,489,139.9,7.54,13.5,133.1,360.9,Poor
Bangalore,20-03-2015,17.5,395.7,143.2,9.41,1,69,84.1,Severe
Bangalore,21-03-2015,174.8,205,103.5,4.56,54.4,193.1,440.6,Severe
Bangalore,22-03-2015,24.7,417.5,149.7,1.61,82.5,120.8,81.5,Moderate
Bangalore,23-03-2015,331.9,16.8,118.1,2.06,30.2,20.4,299.1,Very Poor
Bangalore,24-03-2015,428.4,588.4,57.9,7.08,71.4,189.6,80.3,Satisfactory
Bangalore,25-03-2015,46.1,358.7,148.6,2.82,13.6,64.3,380.6,Moderate
Bangalore,26-03-2015,106.4,595.3,26.1,9.66,34.4,79.5,160.2,Poor
Bangalore,27-03-2015,200.3,304.6,132,1.29,16.2,36,41.5,Satisfactory
Bangalore,28-03-2015,371.3,579.8,116.1,6.35,51.5,54.9,7.1,Good
Bangalore,29-03-2015,100.6,241.9,10,6.28,45.1,24.8,202.1,Very Poor
Bangalore,30-03-2015,328.8,213.9,73.1,0.62,16.8,43.2,201.8,Good
Bangalore,31-03-2015,498.1,421.4,114.7,6.65,23.6,117.3,490.5,Good
Bangalore,01-04-2015,89.9,41.4,27.1,3.06,45.8,8.9,67.7,Poor
Bangalore,02-04-2015,303.2,328.1,92,8.15,30.3,80.1,16.6,Very Poor
Bangalore,03-04-2015,289,390.8,97,2.89,7.8,60.7,215.4,Severe
Bangalore,04-04-2015,62.6,454.7,133.9,9.23,29.9,118.6,435.6,Poor
Bangalore,05-04-2015,244.9,38.6,87.3,4.45,5.8,45.3,181.8,Satisfactory
Bangalore,06-04-2015,454.3,212.3,59.6,6.86,71,67.6,392.7,Moderate
Bangalore,07-04-2015,134.9,388.6,143.7,0.65,3.1,70.9,455.1,Very Poor
Bangalore,08-04-2015,148.1,365.9,57.3,9.5,91.2,197,96.6,Good
Bangalore,09-04-2015,412.4,227.8,34.7,8.77,3.1,97.7,453.9,Very Poor
Bangalore,10-04-2015,421.2,90.5,105,3.64,78.8,56.8,128.7,Very Poor
Bangalore,11-04-2015,446.6,551.3,18.8,3.25,90.8,37.3,408,Severe
Bangalore,12-04-2015,86.7,460.4,83.4,7.65,21.2,144.1,112.3,Moderate
Bangalore,13-04-2015,331.5,434.7,147,6.58,14.2,46,74.3,Severe
Bangalore,14-04-2015,121,349.1,108.5,0.5,56.6,70.6,397.1,Satisfactory
Bangalore,15-04-2015,79.2,575,53.8,7.97,83.9,93.7,387.8,Moderate
Bangalore,16-04-2015,365.7,54,122.2,1.24,29.9,75.4,478.1,Good
Bangalore,17-04-2015,225.7,575.8,77.6,2.54,87.5,64.4,146,Poor
Bangalore,18-04-2015,72.7,39.3,9.8,4.2,7.3,168.2,360.4,Good
Bangalore,19-04-2015,431,350.1,15.2,3.51,12.7,81.2,69.2,Very Poor
Bangalore,20-04-2015,140.6,23.5,20.8,3.08,79.7,169.6,44.1,Good
Bangalore,21-04-2015,2.7,68.2,66.1,8.01,98.5,144.2,321.2,Good
Bangalore,22-04-2015,246.3,114.3,10.6,9.33,3.9,84.5,138.1,Poor
Bangalore,23-04-2015,491.5,415.3,11.8,7.74,15.4,107.2,212.4,Moderate
Bangalore,24-04-2015,466.5,303.7,129.7,8.77,63.9,14.1,448.5,Moderate
Bangalore,25-04-2015,104.3,538.7,70.5,4.32,66.3,72.7,67,Severe
Bangalore,26-04-2015,285.2,420.5,7.8,0.57,8.6,54.1,273.6,Good
Bangalore,27-04-2015,18.2,554.7,48.9,8.76,68.2,48.6,185.8,Poor
Bangalore,28-04-2015,270.6,433.1,103.8,5.84,77.9,79.7,40.6,Poor
Bangalore,29-04-2015,328.3,14.8,121,4.29,39.4,141,395.5,Very Poor
Bangalore,30-04-2015,326.2,133.9,103.5,9.63,96.1,143.9,397.5,Poor
Bangalore,01-05-2015,55.2,545.8,144.7,4.96,67.8,81.6,338,Very Poor
Bangalore,02-05-2015,144.9,473.6,85,3.84,35.9,104.2,261.1,Good
Bangalore,03-05-2015,267.7,205.7,97.4,1.4,0.1,173.8,363.5,Severe
Bangalore,04-05-2015,498.7,77.3,114.3,0.79,39.4,174.7,236.3,Satisfactory
Bangalore,05-05-2015,449.4,173.3,22.7,3.47,27.3,27.7,59.7,Good
Bangalore,06-05-2015,436.4,105.4,85,8.36,2.3,170.4,416.8,Good
Bangalore,07-05-2015,171.6,370.3,100.5,8.12,77.1,93.6,245.6,Good
Bangalore,08-05-2015,285.6,330.8,122.6,0.81,98.7,51.6,386.8,Good
Bangalore,09-05-2015,25.4,76.7,27.6,1.8,48.5,177.8,119.5,Satisfactory
Bangalore,10-05-2015,285.4,436.6,100.3,3.13,13.2,67.1,409.1,Poor
Bangalore,11-05-2015,264.2,144.3,147.1,2.59,65.5,122.5,157.8,Moderate
Bangalore,12-05-2015,474.4,433,56.1,9,95.2,41.3,80.5,Severe
Bangalore,13-05-2015,260.6,471.1,136.5,5,35.7,46.4,163.2,Moderate
Bangalore,14-05-2015,354.6,582.1,120.8,2.28,76.2,185,421,Satisfactory
Bangalore,15-05-2015,14.5,529.5,40.6,0.11,16.9,26.9,370.8,Satisfactory
Bangalore,16-05-2015,470.5,53,58.5,8.38,8.8,52.6,184,Severe
Bangalore,17-05-2015,107.2,465.9,146.8,1.25,96.6,38.1,29,Poor
Bangalore,18-05-2015,137.5,446.2,113.9,6.57,40.4,177.3,23.6,Severe
Bangalore,19-05-2015,58.5,505.1,66.6,1.11,68,59.9,386.5,Very Poor
Bangalore,20-05-2015,302.6,440.2,64.9,5.94,62.2,123.5,415.1,Poor
Bangalore,21-05-2015,427.6,544.6,21.4,4.82,59.7,128.8,465.9,Very Poor
Bangalore,22-05-2015,209.4,196.1,13.1,6.47,17.9,72.9,155.6,Good
Bangalore,23-05-2015,23.4,298.2,147.6,2.51,8.1,150.6,141.2,Very Poor
Bangalore,24-05-2015,30.4,54.7,47.1,8.16,99.1,90.2,301.2,Very Poor
Bangalore,25-05-2015,346.8,589.5,53.4,1.82,37.5,144.4,66.1,Very Poor
Bangalore,26-05-2015,350.2,197.1,100.9,7.79,69.7,21.7,97.8,Poor
Bangalore,27-05-2015,468.9,556.6,84.1,1.14,13.4,116.6,90.1,Severe
Bangalore,28-05-2015,462.3,111.8,71.1,6.51,66.6,59.7,86.8,Good
Bangalore,29-05-2015,143.9,539.8,146,1.68,60.1,164.2,374.5,Satisfactory
Bangalore,30-05-2015,91.3,77,133.9,3.58,7.9,120.5,419.1,Severe
Bangalore,31-05-2015,417.1,202.2,142.9,6.42,46.4,118.3,455.2,Poor
Bangalore,01-06-2015,272.8,149.5,62.6,7.27,51,63.7,429.8,Good
Bangalore,02-06-2015,320.5,384.1,44.9,8.71,82.3,59.8,13.3,Very Poor
Bangalore,03-06-2015,310.3,110.5,68.1,0.13,65,145.7,40.6,Moderate
Bangalore,04-06-2015,124.1,317.4,101.6,9.87,64,118.6,220.4,Good
Bangalore,05-06-2015,9.8,468,104.1,9.29,93.7,24.9,403.5,Moderate
Bangalore,06-06-2015,371.4,274.8,118.8,7.8,63.8,130,366.9,Poor
Bangalore,07-06-2015,363.3,298.5,62.2,2.86,88.3,10.1,453.3,Severe
Bangalore,08-06-2015,42,432.7,108.5,0.88,1.3,77.6,405.5,Poor
Bangalore,09-06-2015,428.2,460.9,127.6,9.2,91.8,18.3,370.8,Poor
Bangalore,10-06-2015,342.5,365.6,23.5,2.52,46.7,52.4,240.7,Moderate
Bangalore,11-06-2015,181.4,409.7,43.3,6.2,36.4,183.5,98.3,Poor
Bangalore,12-06-2015,343.7,371.3,81.6,2.5,80.2,146.3,92.5,Good
Bangalore,13-06-2015,98.6,437.9,63.8,9.17,65.9,92.3,193.6,Satisfactory
Bangalore,14-06-2015,441.3,14.2,100.8,8.17,74.3,129.5,160.7,Moderate
Bangalore,15-06-2015,194,507.3,77.8,1.45,82.1,144.8,409.3,Good
Bangalore,16-06-2015,482.6,320.9,0.9,7.36,62.6,184.8,172.4,Very Poor
Bangalore,17-06-2015,147.4,186,145.4,6.2,15.8,84.2,194.8,Severe
Bangalore,18-06-2015,196.8,451.4,1.2,7.66,26.5,184.3,110.8,Poor
Bangalore,19-06-2015,227.3,169.2,114,0.12,99.6,64.6,203.8,Moderate
Bangalore,20-06-2015,481.3,470.6,18.1,3.67,25.9,75.8,58.5,Severe
Bangalore,21-06-2015,92.7,93.4,125.4,2.86,74.2,186.1,50.5,Moderate
Bangalore,22-06-2015,290.1,384.6,144.6,0.44,74.4,98.1,344.1,Poor
Bangalore,23-06-2015,479.7,346.6,80.6,7.4,31.4,132.3,404.7,Satisfactory
Bangalore,24-06-2015,375,525.8,19,6.39,94.9,91.2,121.1,Poor
Bangalore,25-06-2015,4.9,240.8,1.5,4.19,19.5,27,449.7,Satisfactory
Bangalore,26-06-2015,449.5,282.6,12,0.37,85,125.1,137,Satisfactory
Bangalore,27-06-2015,347,63.5,29.4,6.71,88.3,9.3,390,Severe
Bangalore,28-06-2015,494.9,408,119.8,5.71,99,140.1,193.1,Good
Bangalore,29-06-2015,374.9,129.9,143.7,7.33,9.2,21.9,210.7,Severe
Bangalore,30-06-2015,199.5,375.2,98.6,9.02,20.2,17.9,391.8,Severe
Bangalore,01-07-2015,338.8,227.7,100.8,2.87,39.5,19.8,115.4,Satisfactory
Bangalore,02-07-2015,140,278.5,106,5.35,24.8,155.4,295.9,Good
Bangalore,03-07-2015,334.8,166.6,26.1,8.67,87,197.6,436.6,Very Poor
Bangalore,04-07-2015,87.7,206.9,45.1,6.44,14.9,65.9,25.1,Poor
Bangalore,05-07-2015,425.2,231.4,71.5,8.12,69.9,17.6,451.4,Moderate
Bangalore,06-07-2015,443,599.5,33.1,4.67,13.5,135.4,171,Severe
Bangalore,07-07-2015,33.1,478.5,39.9,3.25,32.6,83.4,250.8,Severe
Bangalore,08-07-2015,248.6,542.7,56.6,1.22,61.3,69.6,455.2,Good
Bangalore,09-07-2015,126.5,138.6,127,7.6,3.1,17,404,Good
Bangalore,10-07-2015,316.7,130.3,67.2,7.52,85.6,42.4,231.7,Very Poor
Bangalore,11-07-2015,84.1,459.9,64.3,4.9,52.5,6.2,311.6,Severe
Bangalore,12-07-2015,17.2,54.5,41.7,7.63,28.5,63.3,84.7,Poor
Bangalore,13-07-2015,467.1,66.3,71.5,4.03,90.1,126.7,105.1,Severe
Bangalore,14-07-2015,252.8,103.9,81.5,6.58,66.7,27.2,166.2,Poor
Bangalore,15-07-2015,383.9,572.8,62.8,9.5,16.7,84.8,179.8,Good
Bangalore,16-07-2015,76.2,165.3,39.3,6.14,85.3,176.4,332.8,Severe
Bangalore,17-07-2015,410.2,64.3,136.8,1.58,25.5,165.9,200.3,Very Poor
Bangalore,18-07-2015,86.1,192.7,9.5,8.86,58.3,33.9,45.9,Poor
Bangalore,19-07-2015,129.3,363.4,24.8,9.35,52.7,25.5,22.3,Very Poor
Bangalore,20-07-2015,139.8,45.3,11.7,2.94,71.2,108.4,74.7,Poor
Bangalore,21-07-2015,83,230.5,24.7,2.1,44.3,112,257.9,Good
Bangalore,22-07-2015,308,105.3,21.4,4.87,33.9,35.4,376.6,Good
Bangalore,23-07-2015,214.4,593.2,54.6,1.05,79.2,154,432.7,Moderate
Bangalore,24-07-2015,430.4,554.9,145.3,7.6,76.3,191.4,238.6,Very Poor
Bangalore,25-07-2015,93.6,324.6,13.6,5.97,22.4,64.9,163.7,Poor
Bangalore,26-07-2015,193.6,424.2,142.5,6.36,98.6,57.1,215.1,Good
Bangalore,27-07-2015,35.8,568.7,117.1,0.19,85.9,170.7,40.7,Moderate
Bangalore,28-07-2015,374.2,190.8,27.1,3.95,34.7,111.4,34.8,Very Poor
Bangalore,29-07-2015,93.7,530,127.3,7.01,15.4,125,70.5,Very Poor
Bangalore,30-07-2015,479.3,177.6,97.9,9.99,19.2,111.1,44.9,Very Poor
Bangalore,31-07-2015,68.9,250.7,0.7,3.94,98.3,50.5,35,Moderate
Bangalore,01-08-2015,178.4,522.7,82.4,0.38,5.8,79.5,17.9,Severe
Bangalore,02-08-2015,460.8,255.9,123.3,2.59,49.2,71.9,433.2,Severe
Bangalore,03-08-2015,355.4,519.4,22.2,8.73,27.2,113.6,252.7,Good
Bangalore,04-08-2015,470.9,189.1,25,2.75,16.2,56.2,346.2,Good
Bangalore,05-08-2015,62.1,593.6,138.3,1.04,41.9,54.8,429,Poor
Bangalore,06-08-2015,484.7,591.3,4.6,7.27,22.3,90.4,178.4,Satisfactory
Bangalore,07-08-2015,328,510.8,30.6,2.52,67.5,126,282.2,Poor
Bangalore,08-08-2015,276.6,232.5,86.7,4.4,43.2,8.1,230.6,Poor
Bangalore,09-08-2015,236.4,301.8,47.5,0.34,70.4,58.2,162.6,Moderate
Bangalore,10-08-2015,227.6,203.6,136.9,8.49,0.6,180.6,184.6,Poor
Bangalore,11-08-2015,221.9,251.5,61.7,4.59,47.4,11.2,155.4,Poor
Bangalore,12-08-2015,305.5,247,95.7,1.64,5.1,70.8,491.4,Severe
Bangalore,13-08-2015,488.8,278,44.4,8.73,41.1,65.8,379,Moderate
Bangalore,14-08-2015,39.8,541.1,106.7,6.32,51.6,147.7,152.6,Severe
Bangalore,15-08-2015,305.7,223,66.8,5.33,1.4,112.6,82.8,Poor
Bangalore,16-08-2015,7.2,160.6,46.5,9.1,88.2,165.7,484.1,Good
Bangalore,17-08-2015,393.5,88.9,96.8,2.66,7.4,102.9,258.1,Moderate
Bangalore,18-08-2015,492.6,492.4,16,0.45,0.3,190.9,415.1,Moderate
Bangalore,19-08-2015,92.1,485,11.6,2.33,63.6,111.8,324.3,Satisfactory
Bangalore,20-08-2015,462.6,428.9,10.8,1.21,88.2,86.8,426.6,Very Poor
Bangalore,21-08-2015,154.1,105.4,40.7,2.32,65.8,97.2,388.4,Satisfactory
Bangalore,22-08-2015,82.2,178,145.7,9.92,94.6,182,314.6,Poor
Bangalore,23-08-2015,429.9,473.4,20.5,4.18,67.6,50.3,43.7,Good
Bangalore,24-08-2015,50.6,528.2,72.5,4.2,39.6,131.6,112.9,Satisfactory
Bangalore,25-08-2015,75.4,558.9,119.8,4.54,53,188.4,8.2,Very Poor
Bangalore,26-08-2015,409.9,348.9,99.3,9.63,64.7,145.9,314.4,Satisfactory
Bangalore,27-08-2015,382,503,121.2,3.11,93.3,89.6,450.8,Severe
Bangalore,28-08-2015,89.5,151.2,108.5,5.13,7.5,12.7,68.4,Satisfactory
Bangalore,29-08-2015,126.6,454,148.5,8.17,87.5,31.2,449,Poor
Bangalore,30-08-2015,394.2,307.2,34.9,8.32,52.4,72.6,436.2,Good
Bangalore,31-08-2015,22.2,578.9,71.6,3.86,63.5,46.7,140.1,Very Poor
Bangalore,01-09-2015,23.8,271.5,71.4,6.11,5.5,156.8,222.4,Good
Bangalore,02-09-2015,26.1,239.7,21.1,8.74,51.3,85.2,165,Very Poor
Bangalore,03-09-2015,230.3,511.3,84.1,4.91,94.7,188.9,135.6,Satisfactory
Bangalore,04-09-2015,308.2,241.5,33.6,5.91,14.5,109.9,402.8,Moderate
Bangalore,05-09-2015,67,593.4,51.2,4.62,75.8,143.1,241,Satisfactory
Bangalore,06-09-2015,343.5,563,52,1.42,10.9,70.1,152.9,Good
Bangalore,07-09-2015,298.2,180.3,26.5,5.03,83.2,6.4,210.5,Very Poor
Bangalore,08-09-2015,469.3,500.8,63.6,7.93,27.6,99.1,303.4,Severe
Bangalore,09-09-2015,160.6,596,39.9,6,6.1,25.4,289.7,Satisfactory
Bangalore,10-09-2015,151.6,166.1,117.4,1.67,95.7,116.2,351.3,Very Poor
Bangalore,11-09-2015,61.3,400.2,6.1,8.49,6.5,174.1,227,Very Poor
Bangalore,12-09-2015,6.3,276.9,15.3,4.38,76.2,51.6,228.8,Poor
Bangalore,13-09-2015,262.8,245.4,29.8,4.57,58,53.1,221.3,Moderate
Bangalore,14-09-2015,22.4,71.9,110.7,2.82,64.4,95,426.9,Severe
Bangalore,15-09-2015,132.7,298.7,80.1,1.15,18.7,40.4,97.7,Moderate
Bangalore,16-09-2015,70.1,442.5,146.2,2.66,29.7,25.5,0.6,Good
Bangalore,17-09-2015,494.2,410.7,32.5,0.42,42.8,135,193.9,Severe
Bangalore,18-09-2015,113.3,82.6,12.9,7.68,64,101.2,286.1,Satisfactory
Bangalore,19-09-2015,217.6,60.7,26.6,9.06,71.4,15.1,329.1,Poor
Bangalore,20-09-2015,352.3,286.5,140.9,3.4,71.5,169.5,441.1,Poor
Bangalore,21-09-2015,92.5,330.6,119,1.07,90.5,139.9,44.7,Severe
Bangalore,22-09-2015,254.4,258.3,50.3,1.26,92.5,151.5,320.2,Satisfactory
Bangalore,23-09-2015,338,435.4,49.7,4,22.8,152.8,121.6,Poor
Bangalore,24-09-2015,193.8,567.8,101.1,3.4,88.8,141,300.1,Poor
Bangalore,25-09-2015,414.2,489.5,113.9,1.81,21.8,133.9,144.5,Poor
Bangalore,26-09-2015,185.5,408.9,112,8.37,67.9,147.5,216.9,Severe
Bangalore,27-09-2015,210.3,166.7,101.6,6.71,75.4,64.2,132.6,Severe
Bangalore,28-09-2015,464.3,285.6,39.8,4.02,45.9,170.1,1.7,Moderate
Bangalore,29-09-2015,361.8,20.7,126,5.94,19.5,101.7,187.8,Moderate
Bangalore,30-09-2015,489.1,491,0.9,1.91,58,33.9,494.1,Severe
Bangalore,01-10-2015,470.4,535.2,91.5,8.38,60.2,50.7,229.2,Satisfactory
Bangalore,02-10-2015,132.7,103.3,53.8,5.94,66.1,105.4,58.4,Good
Bangalore,03-10-2015,402.1,472.6,101.4,9.47,22.5,142.5,5.6,Poor
Bangalore,04-10-2015,200.7,61,14.7,8.58,55.4,13.4,327.4,Very Poor
Bangalore,05-10-2015,179.8,91.9,148.7,6.42,28.4,146.4,64.7,Good
Bangalore,06-10-2015,245.5,245.3,128.5,5.77,25.3,52.7,379.9,Good
Bangalore,07-10-2015,412.3,409.4,33.6,7.4,22.1,171.5,106.4,Satisfactory
Bangalore,08-10-2015,301.8,209.6,103.9,5.34,85.2,186.1,447.7,Satisfactory
Bangalore,09-10-2015,115.8,181.9,102,7.72,20.7,45.5,98.1,Very Poor
Bangalore,10-10-2015,90.6,203.3,126.5,3.23,17.2,24.7,299.1,Satisfactory
Bangalore,11-10-2015,440.8,72.2,92.5,6.86,13.8,134.8,88.9,Very Poor
Bangalore,12-10-2015,260.7,207.5,112.9,7.79,16.9,62.4,22.2,Satisfactory
Bangalore,13-10-2015,108.9,531.6,74.1,7.99,83,3.7,123.3,Satisfactory
Bangalore,14-10-2015,240.8,138.1,51.2,7.91,69.2,40.8,40.9,Satisfactory
Bangalore,15-10-2015,273.1,67.1,80.2,5.31,53.1,86.2,352.7,Severe
Bangalore,16-10-2015,456.7,42,105.4,1.56,15.2,93.8,227.9,Good
Bangalore,17-10-2015,317.5,547.9,30.8,6.95,41.5,97.8,61.8,Poor
Bangalore,18-10-2015,181.4,40.9,1.9,7.49,34.6,67.4,34,Poor
Bangalore,19-10-2015,322.7,235.9,134.8,1.41,59.1,59.5,451.8,Good
Bangalore,20-10-2015,381.3,266.5,4.4,5.79,41.8,8.5,308.1,Satisfactory
Bangalore,21-10-2015,62.5,213.3,111.8,7.65,43.6,83.8,151.6,Moderate
Bangalore,22-10-2015,178.3,403.2,32.7,1.18,70.2,114.3,167.7,Severe
Bangalore,23-10-2015,166.7,311.8,73.9,2.02,15.2,174.9,273.7,Very Poor
Bangalore,24-10-2015,188.4,424.7,97.2,4.21,87.6,86.5,1.6,Moderate
Bangalore,25-10-2015,133.7,452.1,108.1,1.55,66.9,12.6,286.9,Poor
Bangalore,26-10-2015,176.8,268.1,58.6,3.21,22.2,140.6,122.5,Very Poor
Bangalore,27-10-2015,254.3,498.3,80.4,1.63,87.1,44.5,464,Moderate
Bangalore,28-10-2015,67.2,230.1,11.6,4.4,17.5,58.9,119.3,Severe
Bangalore,29-10-2015,179,385.7,82.3,1.25,7.6,171.3,288.7,Moderate
Bangalore,30-10-2015,361.8,184.8,15.5,7.37,87.4,153.1,73.1,Good
Bangalore,31-10-2015,398.7,70.4,74.6,9.27,4.6,28.6,412.6,Moderate
Bangalore,01-11-2015,85,153.2,78.8,6.1,19.1,131.6,76.5,Moderate
Bangalore,02-11-2015,144.5,324.7,8.5,5.05,36.7,137.5,50,Poor
Bangalore,03-11-2015,127.2,302,33.1,1.35,70.9,126.1,285.4,Good
Bangalore,04-11-2015,299.9,533.1,135,5.83,3.2,124.3,239.7,Moderate
Bangalore,05-11-2015,437.4,486.3,88.3,0.45,48.1,140.8,172.4,Poor
Bangalore,06-11-2015,329.3,138.9,85,0.52,39.3,78.4,371.8,Satisfactory
Bangalore,07-11-2015,133.7,344.4,17.2,0.2,82.8,4.2,422.8,Poor
