Date ,Rain (mm),Temp Max( C ),Temp Min ( C ),PM2.5,PM10,NO2,CO,SO2,O3,AQI,AQI_Bucket
17-05-2015,24.46932983,29.42015457,21.63077736,470.5,53,58.5,8.38,8.8,52.6,184,Severe
18-05-2015,20.31520462,31.46636963,21.09107399,107.2,465.9,146.8,1.25,96.6,38.1,29,Poor
19-05-2015,0,32.359478,21.27788162,137.5,446.2,113.9,6.57,40.4,177.3,23.6,Severe
20-05-2015,0,33.53397751,21.83392715,58.5,505.1,66.6,1.11,68,59.9,386.5,Very Poor
21-05-2015,3.087471008,34.81371307,22.47714233,302.6,440.2,64.9,5.94,62.2,123.5,415.1,Poor
22-05-2015,0,34.46815491,23.10832977,427.6,544.6,21.4,4.82,59.7,128.8,465.9,Very Poor
23-05-2015,0,34.42269516,23.30230904,209.4,196.1,13.1,6.47,17.9,72.9,155.6,Good
24-05-2015,0,33.59203339,23.35977936,23.4,298.2,147.6,2.51,8.1,150.6,141.2,Very Poor
25-05-2015,0,34.79942703,23.11846352,30.4,54.7,47.1,8.16,99.1,90.2,301.2,Very Poor
26-05-2015,0,34.8676796,23.09300804,346.8,589.5,53.4,1.82,37.5,144.4,66.1,Very Poor
27-05-2015,0,34.31192017,23.32754707,350.2,197.1,100.9,7.79,69.7,21.7,97.8,Poor
28-05-2015,0,34.29531479,23.32813644,468.9,556.6,84.1,1.14,13.4,116.6,90.1,Severe
29-05-2015,45.5028038,31.32945633,20.20795631,462.3,111.8,71.1,6.51,66.6,59.7,86.8,Good
30-05-2015,0,34.19868469,22.97915268,143.9,539.8,146,1.68,60.1,164.2,374.5,Satisfactory
31-05-2015,6.900110722,33.57267761,19.94940186,91.3,77,133.9,3.58,7.9,120.5,419.1,Severe
01-06-2015,0,33.44908905,23.29794312,417.1,202.2,142.9,6.42,46.4,118.3,455.2,Poor
02-06-2015,6.335090637,30.83402252,20.31633568,272.8,149.5,62.6,7.27,51,63.7,429.8,Good
03-06-2015,0,30.8632431,21.48968315,320.5,384.1,44.9,8.71,82.3,59.8,13.3,Very Poor
04-06-2015,1.480890393,31.89753342,21.26282692,310.3,110.5,68.1,0.13,65,145.7,40.6,Moderate
05-06-2015,0,31.8561573,22.08755875,124.1,317.4,101.6,9.87,64,118.6,220.4,Good
06-06-2015,23.60803032,31.25509262,20.75322914,9.8,468,104.1,9.29,93.7,24.9,403.5,Moderate
07-06-2015,3.831348419,32.364048,21.47697639,371.4,274.8,118.8,7.8,63.8,130,366.9,Poor
08-06-2015,0,32.32308197,22.06498718,363.3,298.5,62.2,2.86,88.3,10.1,453.3,Severe
09-06-2015,0,32.31868362,21.77430153,42,432.7,108.5,0.88,1.3,77.6,405.5,Poor
10-06-2015,0,31.34018326,21.03508949,428.2,460.9,127.6,9.2,91.8,18.3,370.8,Poor
11-06-2015,2.442862272,32.45733643,21.10226059,342.5,365.6,23.5,2.52,46.7,52.4,240.7,Moderate
12-06-2015,0,32.12322998,21.50268364,181.4,409.7,43.3,6.2,36.4,183.5,98.3,Poor
13-06-2015,5.680803299,30.37032318,21.02327156,343.7,371.3,81.6,2.5,80.2,146.3,92.5,Good
14-06-2015,0,30.69994545,21.22123909,98.6,437.9,63.8,9.17,65.9,92.3,193.6,Satisfactory
15-06-2015,5.017171383,29.23721123,20.88692856,441.3,14.2,100.8,8.17,74.3,129.5,160.7,Moderate
16-06-2015,0,29.24567604,20.57922363,194,507.3,77.8,1.45,82.1,144.8,409.3,Good
17-06-2015,0.172788501,29.10792923,21.07270241,482.6,320.9,0.9,7.36,62.6,184.8,172.4,Very Poor
18-06-2015,0,27.80900192,21.06729317,147.4,186,145.4,6.2,15.8,84.2,194.8,Severe
19-06-2015,0,27.29504013,19.80019569,196.8,451.4,1.2,7.66,26.5,184.3,110.8,Poor
20-06-2015,0.957937539,27.24164963,20.3574543,227.3,169.2,114,0.12,99.6,64.6,203.8,Moderate
21-06-2015,0.691154003,27.55181503,21.05773926,481.3,470.6,18.1,3.67,25.9,75.8,58.5,Severe
22-06-2015,0.806346297,26.64538765,21.43470383,92.7,93.4,125.4,2.86,74.2,186.1,50.5,Moderate
23-06-2015,0.172788501,28.90550423,21.18377113,290.1,384.6,144.6,0.44,74.4,98.1,344.1,Poor
24-06-2015,0,29.94386673,21.10770798,479.7,346.6,80.6,7.4,31.4,132.3,404.7,Satisfactory
25-06-2015,0,30.11208725,21.62300682,375,525.8,19,6.39,94.9,91.2,121.1,Poor
26-06-2015,0,29.94939804,21.84317017,4.9,240.8,1.5,4.19,19.5,27,449.7,Satisfactory
27-06-2015,0,29.07320976,21.90666008,449.5,282.6,12,0.37,85,125.1,137,Satisfactory
28-06-2015,0,30.87546158,21.66736984,347,63.5,29.4,6.71,88.3,9.3,390,Severe
29-06-2015,0,30.99050522,21.77825928,494.9,408,119.8,5.71,99,140.1,193.1,Good
30-06-2015,0,32.10504913,20.92124939,374.9,129.9,143.7,7.33,9.2,21.9,210.7,Severe
01-07-2015,11.17971992,32.26414871,21.22795296,199.5,375.2,98.6,9.02,20.2,17.9,391.8,Severe
02-07-2015,1.945949435,31.60620499,21.39051437,338.8,227.7,100.8,2.87,39.5,19.8,115.4,Satisfactory
03-07-2015,1.209519386,31.57835007,21.28157806,140,278.5,106,5.35,24.8,155.4,295.9,Good
04-07-2015,0.172788501,31.35424614,21.5588913,334.8,166.6,26.1,8.67,87,197.6,436.6,Very Poor
05-07-2015,0.102182344,31.83881569,21.19669914,87.7,206.9,45.1,6.44,14.9,65.9,25.1,Poor
06-07-2015,0,32.02472305,21.39666939,425.2,231.4,71.5,8.12,69.9,17.6,451.4,Moderate
07-07-2015,0,32.08361816,21.01604843,443,599.5,33.1,4.67,13.5,135.4,171,Severe
08-07-2015,0,31.73151016,20.34622955,33.1,478.5,39.9,3.25,32.6,83.4,250.8,Severe
09-07-2015,0,31.26676178,21.47399139,248.6,542.7,56.6,1.22,61.3,69.6,455.2,Good
10-07-2015,0.675562739,30.79231644,21.4109726,126.5,138.6,127,7.6,3.1,17,404,Good
11-07-2015,0,29.54763412,21.66596985,316.7,130.3,67.2,7.52,85.6,42.4,231.7,Very Poor
12-07-2015,0.575961649,30.25489998,21.45124054,84.1,459.9,64.3,4.9,52.5,6.2,311.6,Severe
13-07-2015,0,32.44462967,21.25590515,17.2,54.5,41.7,7.63,28.5,63.3,84.7,Poor
14-07-2015,0,32.67496109,21.15928841,467.1,66.3,71.5,4.03,90.1,126.7,105.1,Severe
15-07-2015,0,32.45056915,21.7103405,252.8,103.9,81.5,6.58,66.7,27.2,166.2,Poor
16-07-2015,0,29.49084473,21.49882126,383.9,572.8,62.8,9.5,16.7,84.8,179.8,Good
17-07-2015,0,31.16337013,21.3977356,76.2,165.3,39.3,6.14,85.3,176.4,332.8,Severe
18-07-2015,0.492597848,30.46227264,21.41523552,410.2,64.3,136.8,1.58,25.5,165.9,200.3,Very Poor
19-07-2015,0,29.85857391,21.32764435,86.1,192.7,9.5,8.86,58.3,33.9,45.9,Poor
20-07-2015,2.358876944,28.80671692,21.49107552,129.3,363.4,24.8,9.35,52.7,25.5,22.3,Very Poor
21-07-2015,17.83685875,29.43714333,19.68248177,139.8,45.3,11.7,2.94,71.2,108.4,74.7,Poor
22-07-2015,3.584212065,29.90245247,21.16842651,83,230.5,24.7,2.1,44.3,112,257.9,Good
23-07-2015,1.177723527,29.98403358,20.90397835,308,105.3,21.4,4.87,33.9,35.4,376.6,Good
24-07-2015,11.40555,30.46213913,20.96642303,214.4,593.2,54.6,1.05,79.2,154,432.7,Moderate
25-07-2015,4.890165329,30.4337101,20.90005875,430.4,554.9,145.3,7.6,76.3,191.4,238.6,Very Poor
26-07-2015,8.616788864,30.2070694,21.22764206,93.6,324.6,13.6,5.97,22.4,64.9,163.7,Poor
27-07-2015,6.354553223,29.79782486,21.40538216,193.6,424.2,142.5,6.36,98.6,57.1,215.1,Good
28-07-2015,5.744566917,29.65128136,20.91699982,35.8,568.7,117.1,0.19,85.9,170.7,40.7,Moderate
29-07-2015,4.947181225,30.93155861,20.79919815,374.2,190.8,27.1,3.95,34.7,111.4,34.8,Very Poor
30-07-2015,0,31.98784256,20.37852859,93.7,530,127.3,7.01,15.4,125,70.5,Very Poor
31-07-2015,0,31.42930603,20.58757973,479.3,177.6,97.9,9.99,19.2,111.1,44.9,Very Poor
01-08-2015,0,30.91280937,20.92813873,68.9,250.7,0.7,3.94,98.3,50.5,35,Moderate
02-08-2015,0,30.96724129,21.03722763,178.4,522.7,82.4,0.38,5.8,79.5,17.9,Severe
03-08-2015,0.298023939,30.6306076,20.8275032,460.8,255.9,123.3,2.59,49.2,71.9,433.2,Severe
04-08-2015,0,30.59583282,21.30351639,355.4,519.4,22.2,8.73,27.2,113.6,252.7,Good
05-08-2015,0,30.04750633,20.70094109,470.9,189.1,25,2.75,16.2,56.2,346.2,Good
06-08-2015,21.98048401,30.0061264,20.52482033,62.1,593.6,138.3,1.04,41.9,54.8,429,Poor
07-08-2015,1.013739944,29.96001244,20.52945137,484.7,591.3,4.6,7.27,22.3,90.4,178.4,Satisfactory
08-08-2015,0,30.39777756,20.98314095,328,510.8,30.6,2.52,67.5,126,282.2,Poor
09-08-2015,0,30.17315865,21.00812531,276.6,232.5,86.7,4.4,43.2,8.1,230.6,Poor
10-08-2015,0,30.05991554,21.07305908,236.4,301.8,47.5,0.34,70.4,58.2,162.6,Moderate
11-08-2015,4.663203716,29.82316017,21.29636955,227.6,203.6,136.9,8.49,0.6,180.6,184.6,Poor
12-08-2015,0,30.39701271,21.19276428,221.9,251.5,61.7,4.59,47.4,11.2,155.4,Poor
13-08-2015,0.152060986,29.01820946,21.17889977,305.5,247,95.7,1.64,5.1,70.8,491.4,Severe
14-08-2015,3.671677589,29.65996361,20.96209335,488.8,278,44.4,8.73,41.1,65.8,379,Moderate
15-08-2015,0,31.03627205,20.77808762,39.8,541.1,106.7,6.32,51.6,147.7,152.6,Severe
16-08-2015,0,32.08788681,21.302145,305.7,223,66.8,5.33,1.4,112.6,82.8,Poor
17-08-2015,0.474260777,30.20112228,20.93309021,7.2,160.6,46.5,9.1,88.2,165.7,484.1,Good
18-08-2015,6.452751637,31.19583511,21.0339222,393.5,88.9,96.8,2.66,7.4,102.9,258.1,Moderate
19-08-2015,0,31.82266426,21.27072716,492.6,492.4,16,0.45,0.3,190.9,415.1,Moderate
20-08-2015,0.541307628,32.39848328,21.41888046,92.1,485,11.6,2.33,63.6,111.8,324.3,Satisfactory
21-08-2015,1.718955994,31.33800888,20.97367287,462.6,428.9,10.8,1.21,88.2,86.8,426.6,Very Poor
22-08-2015,73.50984955,28.62655067,21.04787827,154.1,105.4,40.7,2.32,65.8,97.2,388.4,Satisfactory
23-08-2015,28.99339104,28.95528984,20.75820732,82.2,178,145.7,9.92,94.6,182,314.6,Poor
24-08-2015,2.950731277,29.81829643,20.262537,429.9,473.4,20.5,4.18,67.6,50.3,43.7,Good
25-08-2015,0.554929256,30.38043785,20.39603043,50.6,528.2,72.5,4.2,39.6,131.6,112.9,Satisfactory
26-08-2015,0,30.83692741,20.58708954,75.4,558.9,119.8,4.54,53,188.4,8.2,Very Poor
27-08-2015,0,29.45928574,20.39556694,409.9,348.9,99.3,9.63,64.7,145.9,314.4,Satisfactory
28-08-2015,18.78611183,29.45874977,21.1130619,382,503,121.2,3.11,93.3,89.6,450.8,Severe
29-08-2015,3.361270905,29.61748505,20.51966095,89.5,151.2,108.5,5.13,7.5,12.7,68.4,Satisfactory
30-08-2015,0,30.16292572,20.74414635,126.6,454,148.5,8.17,87.5,31.2,449,Poor
31-08-2015,0,30.89105415,21.52441788,394.2,307.2,34.9,8.32,52.4,72.6,436.2,Good
01-09-2015,2.712537527,31.4522171,21.01277924,22.2,578.9,71.6,3.86,63.5,46.7,140.1,Very Poor
02-09-2015,0,31.68343544,21.12618828,23.8,271.5,71.4,6.11,5.5,156.8,222.4,Good
03-09-2015,0,31.28216362,21.33176041,26.1,239.7,21.1,8.74,51.3,85.2,165,Very Poor
04-09-2015,0,31.93972778,21.58130646,230.3,511.3,84.1,4.91,94.7,188.9,135.6,Satisfactory
05-09-2015,13.02052402,32.31107712,21.8623867,308.2,241.5,33.6,5.91,14.5,109.9,402.8,Moderate
06-09-2015,8.783161163,31.28486443,20.77573967,67,593.4,51.2,4.62,75.8,143.1,241,Satisfactory
07-09-2015,3.396098614,31.26519394,21.94794083,343.5,563,52,1.42,10.9,70.1,152.9,Good
08-09-2015,24.82505417,28.74736786,20.53192711,298.2,180.3,26.5,5.03,83.2,6.4,210.5,Very Poor
09-09-2015,7.834732533,28.48518753,20.15460396,469.3,500.8,63.6,7.93,27.6,99.1,303.4,Severe
10-09-2015,0,28.90164185,20.72571182,160.6,596,39.9,6,6.1,25.4,289.7,Satisfactory
11-09-2015,1.675773978,28.67672348,20.60110664,151.6,166.1,117.4,1.67,95.7,116.2,351.3,Very Poor
12-09-2015,7.482129574,29.18597794,20.2232132,61.3,400.2,6.1,8.49,6.5,174.1,227,Very Poor
13-09-2015,0,28.76071548,20.66970825,6.3,276.9,15.3,4.38,76.2,51.6,228.8,Poor
14-09-2015,0,29.95737267,20.11555099,262.8,245.4,29.8,4.57,58,53.1,221.3,Moderate
15-09-2015,0,29.58927727,20.8198719,22.4,71.9,110.7,2.82,64.4,95,426.9,Severe
